Cenário;Canal;q;h(q);tau(q);alpha;f(alpha);R2
cenario06_min16_mx4_res50_q5_ord2;P3;1.5;1.1771268958454695;0.7656903437682043;1.1056681815185965;0.8928119285096905;0.9446877605846372
cenario06_min16_mx4_res50_q5_ord2;P3;2.0;1.14418105699269;1.28836211398538;0.994577359928035;0.7007926058706899;0.9361027440577445
cenario06_min16_mx4_res50_q5_ord2;P3;2.5;1.1041070814784957;1.7602677036962393;0.9186923052589004;0.536463059451012;0.9273360223722498
cenario06_min16_mx4_res50_q5_ord2;P3;3.0;1.0690181397480936;2.2070544192442805;0.8818289116348774;0.4384323156603518;0.9199925116708177
cenario06_min16_mx4_res50_q5_ord2;P3;3.5;1.0405990329517476;2.6420966153311167;0.8634596375745511;0.38001211617981223;0.9139679467182158
cenario06_min16_mx4_res50_q5_ord2;P3;4.0;1.017628514204708;3.0705140568188316;0.8523614391837637;0.3389316999162233;0.9089433183356324
cenario06_min16_mx4_res50_q5_ord2;P3;4.5;0.9987684565588624;3.4944580545148805;0.8445646745159721;0.3060829808069938;0.9046786839108604
cenario06_min16_mx4_res50_q5_ord2;P3;5.0;0.9830157462669608;3.9150787313348037;0.8412413536398464;0.29112803686442845;0.9010098878647083
cenario07_min16_mx4_res50_q10_ord1;P3;-10.0;1.3034019121840716;-14.034019121840716;1.405011217468406;-0.016093052843343614;0.9167755597834336
cenario07_min16_mx4_res50_q10_ord1;P3;-9.0;1.292111989374701;-12.62900790437231;1.4045550228769565;-0.011987301520298033;0.9160225610285898
cenario07_min16_mx4_res50_q10_ord1;P3;-8.0;1.2781136345108504;-11.224909076086803;1.4031501420064654;-0.00029205996492009945;0.9152734810005363
cenario07_min16_mx4_res50_q10_ord1;P3;-7.0;1.2603868029084828;-9.82270762035938;1.4003371811573597;0.020347352257861218;0.914655108541664
cenario07_min16_mx4_res50_q10_ord1;P3;-6.0;1.237372452295347;-8.424234713772083;1.3948188486629767;0.055321621794224285;0.9144561096076221
cenario07_min16_mx4_res50_q10_ord1;P3;-5.0;1.2066139846066852;-7.033069923033426;1.383604580792285;0.11504701907200054;0.915307308537212
cenario07_min16_mx4_res50_q10_ord1;P3;-4.0;1.1642563880468784;-5.6570255521875135;1.3583922396230093;0.22345659369547644;0.9185431129778134
cenario07_min16_mx4_res50_q10_ord1;P3;-3.0;1.105428481262469;-4.316285443787407;1.2961631721589586;0.4277959273105316;0.9267754796309304
